ID,date,zipcode,lat,long,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,sqft_living15,sqft_lot15,price
143,20140515T000000,98003,47.2857,-122.3,3.0,2.25,1590.0,7748.0,2.0,0.0,0.0,4.0,7.0,1590.0,0.0,1991.0,0.0,1590.0,7606.0,263000.0
1175,20141203T000000,98117,47.6885,-122.38,3.0,,2040.0,4005.0,,0.0,0.0,4.0,8.0,1740.0,300.0,1930.0,0.0,1380.0,4005.0,620000.0
221,20140711T000000,98106,47.515,-122.359,2.0,1.0,640.0,7768.0,1.0,0.0,0.0,3.0,6.0,640.0,0.0,1942.0,0.0,,7424.0,165000.0
1231,20141117T000000,98144,47.5758,-122.309,2.0,1.5,1240.0,,,0.0,0.0,,8.0,1080.0,160.0,,0.0,1530.0,1209.0,403000.0
509,20150402T000000,98038,47.3531,-122.017,3.0,,1990.0,,2.0,0.0,,3.0,7.0,1990.0,0.0,2010.0,0.0,2580.0,3800.0,318200.0
40,20141024T000000,98002,47.311,-122.21,3.0,2.25,1640.0,4420.0,2.0,0.0,0.0,4.0,,1640.0,0.0,1918.0,1983.0,,6632.0,250000.0
707,20150512T000000,98058,47.4362,-122.178,,2.5,2200.0,4052.0,2.0,0.0,0.0,3.0,8.0,2200.0,0.0,,0.0,2310.0,5082.0,365000.0
335,20140919T000000,98045,47.4752,-121.755,3.0,,1200.0,15606.0,1.0,0.0,0.0,,7.0,1200.0,0.0,1985.0,0.0,1210.0,15606.0,309950.0
1250,20150507T000000,98092,47.2485,-122.101,3.0,,2880.0,426452.0,2.0,0.0,3.0,,,2880.0,,1979.0,,1460.0,320890.0,450000.0
955,20140729T000000,98014,47.6811,-121.915,3.0,2.5,1778.0,147823.0,2.0,0.0,0.0,3.0,7.0,1778.0,0.0,1999.0,,2840.0,43676.0,435000.0
